epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,2421.57,1.32659,1.7276,1.61808,0.5088,0.42561,0.44519,0.28119,1.56344,2.1687,2.00381,0.000487014,0.000487014,0.000487014
145,2437.78,1.25961,1.62793,1.54446,0.54486,0.39245,0.43075,0.27304,1.59026,2.11352,2.01478,0.000478762,0.000478762,0.000478762
146,2453.83,1.31495,1.69452,1.6201,0.56641,0.35732,0.3932,0.24356,1.57529,2.32361,2.06249,0.000470511,0.000470511,0.000470511
147,2470.02,1.22657,1.62353,1.55705,0.5378,0.47284,0.44529,0.27913,1.5563,2.16359,1.97332,0.000462259,0.000462259,0.000462259
148,2485.91,1.26412,1.63679,1.52701,0.52135,0.40519,0.42129,0.27815,1.5242,2.15444,1.95903,0.000454007,0.000454007,0.000454007
149,2503.41,1.27709,1.66957,1.56403,0.49649,0.40655,0.42205,0.26203,1.50772,2.18734,1.93741,0.000445756,0.000445756,0.000445756
150,2519.96,1.18273,1.556,1.4777,0.45803,0.4478,0.39991,0.24388,1.52733,2.25594,2.00325,0.000437504,0.000437504,0.000437504
151,2535.87,1.27062,1.62006,1.56086,0.44098,0.4739,0.41252,0.25791,1.57518,2.1941,2.0478,0.000429253,0.000429253,0.000429253
152,2552.12,1.20165,1.57525,1.49974,0.5362,0.42561,0.43969,0.27282,1.55057,1.99417,2.01816,0.000421001,0.000421001,0.000421001
153,2568.54,1.24453,1.61974,1.53379,0.4406,0.43058,0.41962,0.26528,1.59015,2.11852,2.01791,0.000412749,0.000412749,0.000412749
154,2585.81,1.23655,1.57513,1.51804,0.45358,0.4778,0.43826,0.28101,1.53144,2.12009,1.93676,0.000404498,0.000404498,0.000404498
155,2602.43,1.24796,1.63347,1.54474,0.44904,0.46412,0.40715,0.25348,1.54803,2.17779,2.01999,0.000396246,0.000396246,0.000396246
156,2618.68,1.23773,1.59659,1.50792,0.48365,0.39393,0.41528,0.26728,1.5182,2.12265,1.95781,0.000387994,0.000387994,0.000387994
157,2634.99,1.20138,1.57417,1.50026,0.46984,0.44171,0.436,0.28545,1.56821,2.09231,2.00735,0.000379743,0.000379743,0.000379743
158,2651.63,1.18082,1.48892,1.48867,0.5213,0.44714,0.44278,0.2866,1.49701,2.01743,1.92544,0.000371491,0.000371491,0.000371491
159,2668.42,1.20014,1.58078,1.47276,0.47504,0.4439,0.42232,0.2668,1.53315,2.18726,1.96453,0.000363239,0.000363239,0.000363239
160,2684.56,1.22361,1.61827,1.52873,0.55595,0.42951,0.45824,0.29273,1.49526,2.07383,1.93532,0.000354988,0.000354988,0.000354988
161,2700.76,1.26616,1.6479,1.54456,0.56429,0.42466,0.44341,0.2809,1.52466,2.0521,1.96535,0.000346736,0.000346736,0.000346736
162,2716.83,1.16658,1.51516,1.4665,0.44562,0.4378,0.4362,0.28409,1.48578,2.03417,1.91735,0.000338484,0.000338484,0.000338484
163,2733.14,1.16879,1.517,1.47142,0.48591,0.43341,0.42121,0.27065,1.53826,2.15462,1.95028,0.000330233,0.000330233,0.000330233
164,2750.37,1.19623,1.47442,1.4875,0.5396,0.39561,0.43498,0.27508,1.53089,2.00358,1.97701,0.000321981,0.000321981,0.000321981
165,2767.27,1.20981,1.55752,1.49946,0.49594,0.45171,0.42347,0.25963,1.55153,2.20353,2.01054,0.000313729,0.000313729,0.000313729
166,2784.04,1.13622,1.49244,1.47351,0.56288,0.40122,0.43975,0.2771,1.51715,2.01799,1.98461,0.000305478,0.000305478,0.000305478
167,2800.19,1.18544,1.54567,1.47029,0.54478,0.42951,0.43787,0.26797,1.54918,2.16995,1.97872,0.000297226,0.000297226,0.000297226
168,2816.43,1.17946,1.48328,1.49052,0.53633,0.42798,0.41799,0.26074,1.57545,2.26808,2.01993,0.000288974,0.000288974,0.000288974
169,2832.68,1.19843,1.60356,1.49609,0.45832,0.44171,0.4204,0.26304,1.55394,2.15692,2.01774,0.000280723,0.000280723,0.000280723
170,2850,1.16879,1.51805,1.47612,0.50633,0.46829,0.42638,0.26115,1.55186,2.13269,2.06732,0.000272471,0.000272471,0.000272471
171,2866.16,1.19715,1.52013,1.47681,0.54962,0.44268,0.45281,0.2883,1.50673,2.05816,1.95494,0.00026422,0.00026422,0.00026422
172,2882.41,1.1536,1.46509,1.4587,0.54502,0.41561,0.4487,0.2769,1.49203,2.11574,1.9552,0.000255968,0.000255968,0.000255968
173,2898.63,1.16906,1.51232,1.47795,0.56063,0.43951,0.43727,0.28356,1.51295,2.19851,1.95654,0.000247716,0.000247716,0.000247716
